Request_Date,SLA_Met,Total_Requests,SLA_Compliance_Pct
2026-06-08,122,353,34.56090651558073
2026-06-28,97,313,30.990415335463258
2026-06-11,117,313,37.38019169329074
2026-06-01,75,223,33.6322869955157
2026-06-15,102,319,31.974921630094045
2026-06-30,113,346,32.65895953757225
2026-06-12,96,320,30.0
2026-06-04,117,374,31.283422459893046
2026-06-20,132,360,36.666666666666664
2026-06-26,122,341,35.77712609970675
2026-06-24,129,372,34.67741935483871
2026-06-14,96,306,31.372549019607842
2026-06-06,109,336,32.44047619047619
2026-06-18,115,318,36.16352201257861
2026-06-21,117,330,35.45454545454545
2026-06-10,105,324,32.407407407407405
2026-06-23,112,349,32.09169054441261
2026-07-01,38,99,38.38383838383838
2026-06-19,110,309,35.59870550161812
2026-06-16,109,334,32.634730538922156
2026-06-09,108,328,32.926829268292686
2026-06-02,113,363,31.129476584022036
2026-06-03,99,334,29.64071856287425
2026-06-29,105,326,32.20858895705521
2026-06-05,106,343,30.903790087463555
2026-06-13,109,320,34.0625
2026-06-07,120,346,34.68208092485549
2026-06-27,104,335,31.044776119402982
2026-06-25,117,334,35.029940119760475
2026-06-22,99,304,32.56578947368421
2026-06-17,109,328,33.23170731707317
