Department,Priority,SLA_Met,Total_Requests,SLA_Compliance_Pct
Operations,Low,289,838,34.48687350835322
Finance,Medium,272,825,32.96969696969697
HR,Medium,280,863,32.4449594438007
HR,Low,312,903,34.55149501661129
IT,High,256,852,30.046948356807512
IT,Low,268,832,32.21153846153847
HR,High,291,849,34.275618374558306
IT,Medium,230,776,29.63917525773196
Operations,High,268,796,33.66834170854271
Finance,High,291,839,34.68414779499404
Operations,Medium,290,800,36.25
Finance,Low,275,827,33.252720677146314
